2026
11
18319500
20553900
0 1 1 5 144 7  (D 0,1,1) (S 1,1,2) (S 6,2,3) (S 14,3,4) (S 15,4,2) (S 37,2,9) (D 0,1,1)
0 1 2 5 214 7  (D 0,1,1) (S 4,1,10) (S 50,10,11) (S 44,11,10) (S 41,10,9) (S 38,9,10) (D 0,1,1)
0 1 3 5 186 7  (D 0,1,1) (S 8,2,4) (S 3,1,7) (S 29,7,12) (S 53,12,6) (S 10,2,9) (D 0,1,1)
0 1 4 5 180 7  (D 0,1,1) (S 13,2,3) (S 17,5,3) (S 7,3,2) (S 40,9,11) (S 11,9,2) (D 0,1,1)
0 1 5 5 189 7  (D 0,1,1) (S 16,2,4) (S 12,3,2) (S 42,9,10) (S 39,10,9) (S 36,9,2) (D 0,1,1)
0 1 6 5 168 7  (D 0,1,1) (S 18,5,6) (S 19,6,5) (S 20,5,11) (S 47,11,8) (S 33,8,10) (D 0,1,1)
0 1 7 5 215 7  (D 0,1,1) (S 21,11,5) (S 46,5,11) (S 49,11,10) (S 43,10,11) (S 35,11,8) (D 0,1,1)
0 1 8 5 173 7  (D 0,1,1) (S 23,12,5) (S 22,5,12) (S 27,7,8) (S 34,8,11) (S 28,8,7) (D 0,1,1)
0 1 9 5 222 7  (D 0,1,1) (S 30,12,7) (S 55,7,12) (S 54,12,7) (S 32,7,8) (S 48,8,11) (D 0,1,1)
0 1 10 5 161 7  (D 0,1,1) (S 31,8,7) (S 26,7,6) (S 5,1,12) (S 2,1,4) (S 9,4,2) (D 0,1,1)
0 1 11 5 174 7  (D 0,1,1) (S 45,11,5) (S 52,5,12) (S 51,12,5) (S 25,5,6) (S 24,6,5) (D 0,1,1)
