548
5
0
0
0 1 1 10 118 10
(D 0,1,1) (S 1,1,10) (S 23,9,3) (S 24,3,9) (S 8,9,3) (S 7,3,9) (S 6,3,8) (S 22,8,12) (S 28,11,6) (D 0,1,1)
0 1 2 10 174 11
(D 0,1,1) (S 21,7,5) (S 13,5,6) (S 14,6,5) (S 16,5,6) (S 15,6,5) (S 19,7,2) (S 3,2,1) (S 4,2,4) (S 9,4,1) (D 0,1,1)
0 1 3 9 92 7
(D 0,1,1) (S 25,10,1) (S 20,7,4) (S 10,4,6) (S 29,6,11) (S 18,11,6) (D 0,1,1)
0 1 4 9 132 8
(D 0,1,1) (S 26,1,10) (S 2,10,1) (S 5,2,5) (S 12,5,1) (S 11,4,11) (S 17,6,11) (D 0,1,1)
0 1 5 2 32 3
(D 0,1,1) (S 27,10,12) (D 0,1,1)
